entity,branch,partnbr,mfgname,mfgpartnbr,description,family,category,Inventory Balance,Sum of Quantity On Hand,_Average Cost,Sum of Latest Cost,Sum of Quantity On Order,Sum of T3M Qty Used,Sum of T6M Qty Used,Sum of TTM Qty Used,Sum of Months of Cover,Last Receipt,status,Network Flag,Network Status,_Weighted T3M,_Weighted T6M,_Weighted TTM,_Weighted Demand,_Weighted Daily Sales,_Target OH QTY,_Rounded OH Target,_Excess QTY,Weeks to Burn,Months to Burn,Branch Flag,Months of Coverage
ABC,Branch 1,Hsa7OKnC,MANUFACTURER-0005,CODE-0010,Portable Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,65,5,13,23.95,0,0,0,0,inf,2/2/2018 0:00,dead,Network Dead,dead,0,0,0,0,0,0,0,5,16,4,Branch Dead,inf
ABC,Branch 9,rev7XKI6,MANUFACTURER-0005,CODE-0011,Modular Plastic Transmitter,,,2329,4,582,450,0,0,0,0,inf,1/24/2025 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,4,16,4,Branch Dead,inf
ABC,Branch 3,wamXi4La,MANUFACTURER-0005,,Wireless Steel Panel,,,529,30,18,19.314,0,0,0,0,inf,,excess,NO MPN Information,,0,0,0,0,0,0,0,30,16,4,NO MPN Information,inf
ABC,Branch 10,wamXi4La,MANUFACTURER-0005,,Wireless Steel Panel,,,141,8,18,19.314,0,0,0,2,48,10/16/2018 0:00,excess,NO MPN Information,,0,0,0.2,0.2,0.000547945,0.04,1,7,1825,456.25,NO MPN Information,48
ABC,Branch 5,A0DydCTo,MANUFACTURER-0005,CODE-0012,Compact Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,62,3,21,21.98,0,9,0,9,4,,excess,Network Moving,excess,21.6,0,0.9,22.5,0.061643836,4.5,5,0,0,0,Branch Moving,4
ABC,Branch 8,A0DydCTo,MANUFACTURER-0005,CODE-0012,Compact Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,82,4,21,21.98,0,3,0,13,3.692307692,6/17/2021 0:00,optimal,Network Moving,excess,7.2,0,1.3,8.5,0.023287671,1.7,2,2,12,3,Branch Moving,3.692307692
ABC,Branch 10,A0DydCTo,MANUFACTURER-0005,CODE-0012,Compact Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,103,5,21,21.98,0,0,0,5,12,11/8/2023 0:00,excess,Network Moving,excess,0,0,0.5,0.5,0.001369863,0.1,1,4,417,104.25,Branch Moving,12
ABC,Branch 4,A0DydCTo,MANUFACTURER-0005,CODE-0012,Compact Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,123,6,21,21.98,0,0,0,0,inf,12/16/2024 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,6,16,4,Branch Dead,inf
ABC,Branch 10,PAY07M97,MANUFACTURER-0005,CODE-0013,Smart Fiber Transmitter,LDC/CONST,PIPE FIBERGLASS,34,2,17,23.498,0,0,0,-2,-12,,optimal,Network Moving,excess,0,0,-0.2,-0.2,-0.000547945,-0.04,0,2,0,0,Branch Moving,-12
ABC,Branch 11,PAY07M97,MANUFACTURER-0005,CODE-0013,Smart Fiber Transmitter,LDC/CONST,PIPE FIBERGLASS,152,9,17,23.498,0,0,0,0,inf,,excess,Network Moving,excess,0,0,0,0,0,0,0,9,16,4,Branch Dead,inf
ABC,Branch 8,PAY07M97,MANUFACTURER-0005,CODE-0013,Smart Fiber Transmitter,LDC/CONST,PIPE FIBERGLASS,34,2,17,23.498,0,5,0,7,3.428571429,6/17/2021 0:00,optimal,Network Moving,excess,12,0,0.7,12.7,0.034794521,2.54,3,0,0,0,Branch Moving,3.428571429
ABC,Branch 3,PAY07M97,MANUFACTURER-0005,CODE-0013,Smart Fiber Transmitter,LDC/CONST,PIPE FIBERGLASS,860,51,17,23.498,0,0,0,0,inf,1/4/2023 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,51,16,4,Branch Dead,inf
ABC,Branch 1,hvKVSiTw,MANUFACTURER-0005,CODE-0014,Smart Aluminum Actuator,LDC/CONST,PIPE FIBERGLASS,288,12,24,24.68,0,0,0,6,24,,excess,Network Moving,excess,0,0,0.6,0.6,0.001643836,0.12,1,11,956,239,Branch Moving,24
ABC,Branch 5,hvKVSiTw,MANUFACTURER-0005,CODE-0014,Smart Aluminum Actuator,LDC/CONST,PIPE FIBERGLASS,360,15,24,24.68,0,6,0,6,30,6/7/2023 0:00,excess,Network Moving,excess,14.4,0,0.6,15,0.04109589,3,3,12,42,10.5,Branch Moving,30
ABC,Branch 4,hvKVSiTw,MANUFACTURER-0005,CODE-0014,Smart Aluminum Actuator,LDC/CONST,PIPE FIBERGLASS,120,5,24,24.68,0,0,0,0,inf,12/31/2024 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,5,16,4,Branch Dead,inf
ABC,Branch 8,hvKVSiTw,MANUFACTURER-0005,CODE-0014,Smart Aluminum Actuator,LDC/CONST,PIPE FIBERGLASS,719,30,24,24.68,0,52,0,92,3.913043478,4/16/2025 0:00,optimal,Network Moving,excess,124.8,0,9.2,134,0.367123288,26.8,27,3,1,0.25,Branch Moving,3.913043478
ABC,Branch 10,hvKVSiTw,MANUFACTURER-0005,CODE-0014,Smart Aluminum Actuator,LDC/CONST,PIPE FIBERGLASS,2206,92,24,24.68,0,20,0,13,84.92307692,4/28/2025 0:00,excess,Network Moving,excess,48,0,1.3,49.3,0.135068493,9.86,10,82,87,21.75,Branch Moving,84.92307692
ABC,Branch 8,YB5h7gTv,MANUFACTURER-0005,CODE-0015,Portable Aluminum Actuator,LDC/CONST,PIPE FIBERGLASS,586,8,73,80.72,0,0,0,0,inf,12/2/2021 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,8,16,4,Branch Dead,inf
ABC,Branch 10,YB5h7gTv,MANUFACTURER-0005,CODE-0015,Portable Aluminum Actuator,LDC/CONST,PIPE FIBERGLASS,732,10,73,80.72,0,0,0,0,inf,10/29/2024 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,10,16,4,Branch Dead,inf
ABC,Branch 1,w5WP9V5F,MANUFACTURER-0005,CODE-0016,Portable Plastic Transmitter,LDC/CONST,PIPE FIBERGLASS,2432,52,47,46.81,0,0,0,0,inf,,excess,Network Moving,excess,0,0,0,0,0,0,0,52,16,4,Branch Dead,inf
ABC,Branch 10,w5WP9V5F,MANUFACTURER-0005,CODE-0016,Portable Plastic Transmitter,LDC/CONST,PIPE FIBERGLASS,4209,90,47,46.81,0,18,0,24,45,2/17/2023 0:00,excess,Network Moving,excess,43.2,0,2.4,45.6,0.124931507,9.12,10,80,91,22.75,Branch Moving,45
ABC,Branch 5,w5WP9V5F,MANUFACTURER-0005,CODE-0016,Portable Plastic Transmitter,LDC/CONST,PIPE FIBERGLASS,3087,66,47,46.81,0,12,0,12,66,5/9/2023 0:00,excess,Network Moving,excess,28.8,0,1.2,30,0.082191781,6,6,60,104,26,Branch Moving,66
ABC,Branch 8,w5WP9V5F,MANUFACTURER-0005,CODE-0016,Portable Plastic Transmitter,LDC/CONST,PIPE FIBERGLASS,3695,79,47,46.81,0,56,0,83,11.42168675,5/12/2023 0:00,excess,Network Moving,excess,134.4,0,8.3,142.7,0.390958904,28.54,29,50,18,4.5,Branch Moving,11.42168675
ABC,Branch 3,w5WP9V5F,MANUFACTURER-0005,CODE-0016,Portable Plastic Transmitter,LDC/CONST,PIPE FIBERGLASS,1403,30,47,46.81,0,2,0,13,27.69230769,2/14/2024 0:00,excess,Network Moving,excess,4.8,0,1.3,6.1,0.016712329,1.22,2,28,239,59.75,Branch Moving,27.69230769
ABC,Branch 4,w5WP9V5F,MANUFACTURER-0005,CODE-0016,Portable Plastic Transmitter,LDC/CONST,PIPE FIBERGLASS,4209,90,47,46.81,0,0,0,0,inf,12/31/2024 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,90,16,4,Branch Dead,inf
ABC,Branch 6,z8RzqZh9,MANUFACTURER-0005,CODE-0017,Compact Fiber Sensor,LDC/CONST,PIPE FIBERGLASS,149,3,50,52.58,0,0,0,0,inf,,excess,Network Moving,excess,0,0,0,0,0,0,0,3,16,4,Branch Dead,inf
ABC,Branch 1,z8RzqZh9,MANUFACTURER-0005,CODE-0017,Compact Fiber Sensor,LDC/CONST,PIPE FIBERGLASS,99,2,50,52.58,0,2,0,14,1.714285714,10/31/2022 0:00,low,Network Moving,excess,4.8,0,1.4,6.2,0.016986301,1.24,2,0,0,0,Branch Moving,1.714285714
ABC,Branch 5,z8RzqZh9,MANUFACTURER-0005,CODE-0017,Compact Fiber Sensor,LDC/CONST,PIPE FIBERGLASS,594,12,50,52.58,0,28,0,33,4.363636364,5/9/2023 0:00,excess,Network Moving,excess,67.2,0,3.3,70.5,0.193150685,14.1,15,0,0,0,Branch Moving,4.363636364
ABC,Branch 3,z8RzqZh9,MANUFACTURER-0005,CODE-0017,Compact Fiber Sensor,LDC/CONST,PIPE FIBERGLASS,2921,59,50,52.58,0,4,0,9,78.66666667,2/14/2024 0:00,excess,Network Moving,excess,9.6,0,0.9,10.5,0.028767123,2.1,3,56,278,69.5,Branch Moving,78.66666667
ABC,Branch 8,z8RzqZh9,MANUFACTURER-0005,CODE-0017,Compact Fiber Sensor,LDC/CONST,PIPE FIBERGLASS,297,6,50,52.58,0,79,0,217,0.331797235,12/30/2024 0:00,low,Network Moving,excess,189.6,0,21.7,211.3,0.57890411,42.26,43,0,0,0,Branch Moving,0.331797235
ABC,Branch 4,z8RzqZh9,MANUFACTURER-0005,CODE-0017,Compact Fiber Sensor,LDC/CONST,PIPE FIBERGLASS,2475,50,50,52.58,0,0,0,30,20,12/31/2024 0:00,excess,Network Moving,excess,0,0,3,3,0.008219178,0.6,1,49,852,213,Branch Moving,20
ABC,Branch 10,z8RzqZh9,MANUFACTURER-0005,CODE-0017,Compact Fiber Sensor,LDC/CONST,PIPE FIBERGLASS,1782,36,50,52.58,0,13,0,94,4.595744681,3/20/2025 0:00,excess,Network Moving,excess,31.2,0,9.4,40.6,0.111232877,8.12,9,27,35,8.75,Branch Moving,4.595744681
ABC,Branch 1,0N3qZ7z5,MANUFACTURER-0005,CODE-0018,Wireless Carbon Monitor,LDC/CONST,PIPE FIBERGLASS,1772,27,66,66.82,0,0,0,1,324,,excess,Network Moving,excess,0,0,0.1,0.1,0.000273973,0.02,1,26,13557,3389.25,Branch Moving,324
ABC,Branch 6,0N3qZ7z5,MANUFACTURER-0005,CODE-0018,Wireless Carbon Monitor,LDC/CONST,PIPE FIBERGLASS,197,3,66,66.82,0,0,0,0,inf,,excess,Network Moving,excess,0,0,0,0,0,0,0,3,16,4,Branch Dead,inf
ABC,Branch 3,0N3qZ7z5,MANUFACTURER-0005,CODE-0018,Wireless Carbon Monitor,LDC/CONST,PIPE FIBERGLASS,1313,20,66,66.82,0,0,0,0,inf,10/8/2010 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,20,16,4,Branch Dead,inf
ABC,Branch 5,0N3qZ7z5,MANUFACTURER-0005,CODE-0018,Wireless Carbon Monitor,LDC/CONST,PIPE FIBERGLASS,131,2,66,66.82,0,3,0,3,8,6/19/2012 0:00,excess,Network Moving,excess,7.2,0,0.3,7.5,0.020547945,1.5,2,0,0,0,Branch Moving,8
ABC,Branch 11,0N3qZ7z5,MANUFACTURER-0005,CODE-0018,Wireless Carbon Monitor,LDC/CONST,PIPE FIBERGLASS,197,3,66,66.82,0,0,0,0,inf,3/9/2017 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,3,16,4,Branch Dead,inf
ABC,Branch 8,0N3qZ7z5,MANUFACTURER-0005,CODE-0018,Wireless Carbon Monitor,LDC/CONST,PIPE FIBERGLASS,4069,62,66,66.82,0,-4,0,62,12,7/24/2023 0:00,excess,Network Moving,excess,-9.6,0,6.2,-3.4,-0.009315068,-0.68,0,62,0,0,Branch Moving,12
ABC,Branch 4,0N3qZ7z5,MANUFACTURER-0005,CODE-0018,Wireless Carbon Monitor,LDC/CONST,PIPE FIBERGLASS,394,6,66,66.82,0,0,0,0,inf,12/31/2024 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,6,16,4,Branch Dead,inf
ABC,Branch 10,0N3qZ7z5,MANUFACTURER-0005,CODE-0018,Wireless Carbon Monitor,LDC/CONST,PIPE FIBERGLASS,1050,16,66,66.82,0,11,0,-8,-24,4/28/2025 0:00,optimal,Network Moving,excess,26.4,0,-0.8,25.6,0.070136986,5.12,6,10,20,5,Branch Moving,-24
ABC,Branch 4,mVrEMQ2f,MANUFACTURER-0005,CODE-0019,Advanced Plastic Actuator,LDC/CONST,PIPE FIBERGLASS,2031,140,15,14.44,0,0,0,500,3.36,7/23/2021 0:00,optimal,Network Moving,excess,0,0,50,50,0.136986301,10,10,130,136,34,Branch Moving,3.36
ABC,Branch 10,mVrEMQ2f,MANUFACTURER-0005,CODE-0019,Advanced Plastic Actuator,LDC/CONST,PIPE FIBERGLASS,2612,180,15,14.44,0,0,0,0,inf,5/30/2023 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,180,16,4,Branch Dead,inf
ABC,Branch 1,sLv79dV0,MANUFACTURER-0005,CODE-0020,Advanced Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,593,8,74,55.96,0,0,0,-2,-48,,optimal,Network Moving,excess,0,0,-0.2,-0.2,-0.000547945,-0.04,0,8,0,0,Branch Moving,-48
ABC,Branch 3,sLv79dV0,MANUFACTURER-0005,CODE-0020,Advanced Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,519,7,74,55.96,0,0,0,10,8.4,10/8/2010 0:00,excess,Network Moving,excess,0,0,1,1,0.002739726,0.2,1,6,313,78.25,Branch Moving,8.4
ABC,Branch 5,sLv79dV0,MANUFACTURER-0005,CODE-0020,Advanced Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,222,3,74,55.96,0,10,0,14,2.571428571,1/14/2014 0:00,optimal,Network Moving,excess,24,0,1.4,25.4,0.069589041,5.08,6,0,0,0,Branch Moving,2.571428571
ABC,Branch 8,sLv79dV0,MANUFACTURER-0005,CODE-0020,Advanced Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,9041,122,74,55.96,0,3,0,0,inf,5/12/2023 0:00,excess,Network Moving,excess,7.2,0,0,7.2,0.019726027,1.44,2,120,869,217.25,Branch Dead,inf
ABC,Branch 4,sLv79dV0,MANUFACTURER-0005,CODE-0020,Advanced Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,296,4,74,55.96,0,0,0,2,24,9/20/2024 0:00,excess,Network Moving,excess,0,0,0.2,0.2,0.000547945,0.04,1,3,782,195.5,Branch Moving,24
ABC,Branch 10,sLv79dV0,MANUFACTURER-0005,CODE-0020,Advanced Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,3705,50,74,55.96,0,10,0,25,24,4/29/2025 0:00,excess,Network Moving,excess,24,0,2.5,26.5,0.07260274,5.3,6,44,87,21.75,Branch Moving,24
ABC,Branch 1,iPfic6LA,MANUFACTURER-0005,CODE-0021,Modular Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,502,8,63,76.39,0,0,0,-4,-24,,optimal,Network Moving,excess,0,0,-0.4,-0.4,-0.00109589,-0.08,0,8,0,0,Branch Moving,-24
ABC,Branch 5,iPfic6LA,MANUFACTURER-0005,CODE-0021,Modular Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,188,3,63,76.39,0,12,0,12,3,12/17/2012 0:00,optimal,Network Moving,excess,28.8,0,1.2,30,0.082191781,6,6,0,0,0,Branch Moving,3
ABC,Branch 4,iPfic6LA,MANUFACTURER-0005,CODE-0021,Modular Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,1696,27,63,76.39,0,0,0,0,inf,7/16/2021 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,27,16,4,Branch Dead,inf
ABC,Branch 10,iPfic6LA,MANUFACTURER-0005,CODE-0021,Modular Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,879,14,63,76.39,0,6,0,14,12,1/31/2023 0:00,excess,Network Moving,excess,14.4,0,1.4,15.8,0.043287671,3.16,4,10,33,8.25,Branch Moving,12
ABC,Branch 8,iPfic6LA,MANUFACTURER-0005,CODE-0021,Modular Steel Transmitter,LDC/CONST,PIPE FIBERGLASS,2952,47,63,76.39,0,3,0,3,188,5/12/2023 0:00,excess,Network Moving,excess,7.2,0,0.3,7.5,0.020547945,1.5,2,45,313,78.25,Branch Moving,188
ABC,Branch 3,7UtCBY3t,MANUFACTURER-0005,CODE-0022,Compact Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,3576,38,94,116.68,0,0,0,0,inf,10/8/2010 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,38,16,4,Branch Dead,inf
ABC,Branch 5,7UtCBY3t,MANUFACTURER-0005,CODE-0022,Compact Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,847,9,94,116.68,0,3,0,3,36,12/17/2012 0:00,excess,Network Moving,excess,7.2,0,0.3,7.5,0.020547945,1.5,2,7,49,12.25,Branch Moving,36
ABC,Branch 10,7UtCBY3t,MANUFACTURER-0005,CODE-0022,Compact Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,188,2,94,116.68,0,5,0,11,2.181818182,1/31/2023 0:00,optimal,Network Moving,excess,12,0,1.1,13.1,0.035890411,2.62,3,0,0,0,Branch Moving,2.181818182
ABC,Branch 8,7UtCBY3t,MANUFACTURER-0005,CODE-0022,Compact Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,5740,61,94,116.68,0,0,0,54,13.55555556,5/12/2023 0:00,excess,Network Moving,excess,0,0,5.4,5.4,0.014794521,1.08,2,59,570,142.5,Branch Moving,13.55555556
ABC,Branch 4,7UtCBY3t,MANUFACTURER-0005,CODE-0022,Compact Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,188,2,94,116.68,0,0,0,0,inf,9/20/2024 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,2,16,4,Branch Dead,inf
ABC,Branch 1,NUdLps7J,MANUFACTURER-0005,CODE-0023,Modular Steel Monitor,LDC/CONST,PIPE FIBERGLASS,679,7,97,104.16,0,0,0,-2,-42,,optimal,Network Moving,excess,0,0,-0.2,-0.2,-0.000547945,-0.04,0,7,0,0,Branch Moving,-42
ABC,Branch 3,NUdLps7J,MANUFACTURER-0005,CODE-0023,Modular Steel Monitor,LDC/CONST,PIPE FIBERGLASS,873,9,97,104.16,0,4,0,5,21.6,,excess,Network Moving,excess,9.6,0,0.5,10.1,0.027671233,2.02,3,6,31,7.75,Branch Moving,21.6
ABC,Branch 8,NUdLps7J,MANUFACTURER-0005,CODE-0023,Modular Steel Monitor,LDC/CONST,PIPE FIBERGLASS,873,9,97,104.16,0,0,0,84,1.285714286,5/12/2023 0:00,low,Network Moving,excess,0,0,8.4,8.4,0.023013699,1.68,2,7,43,10.75,Branch Moving,1.285714286
ABC,Branch 10,NUdLps7J,MANUFACTURER-0005,CODE-0023,Modular Steel Monitor,LDC/CONST,PIPE FIBERGLASS,5626,58,97,104.16,0,27,0,60,11.6,4/28/2025 0:00,excess,Network Moving,excess,64.8,0,6,70.8,0.193972603,14.16,15,43,32,8,Branch Moving,11.6
ABC,Branch 8,1EgScRgv,MANUFACTURER-0005,CODE-0024,Advanced Plastic Sensor,,,530,8,66,99.08,0,0,0,-18,-5.333333333,11/11/2020 0:00,optimal,Network Moving,optimal,0,0,-1.8,-1.8,-0.004931507,-0.36,0,8,0,0,Branch Moving,-5.333333333
ABC,Branch 1,X1f9T3W7,MANUFACTURER-0005,CODE-0025,Compact Steel Sensor,LDC/CONST,PIPE FIBERGLASS,1486,15,99,0,0,0,0,0,inf,,dead,Network Dead,dead,0,0,0,0,0,0,0,15,16,4,Branch Dead,inf
ABC,Branch 11,cZjfh2Gv,MANUFACTURER-0005,CODE-0026,Advanced Fiber Transmitter,LDC/CONST,PIPE FIBERGLASS,151,2,75,67.92,0,0,0,0,inf,,excess,Network Moving,excess,0,0,0,0,0,0,0,2,16,4,Branch Dead,inf
ABC,Branch 10,cZjfh2Gv,MANUFACTURER-0005,CODE-0026,Advanced Fiber Transmitter,LDC/CONST,PIPE FIBERGLASS,4077,54,75,67.92,0,0,0,15,43.2,4/28/2025 0:00,excess,Network Moving,excess,0,0,1.5,1.5,0.004109589,0.3,1,53,1842,460.5,Branch Moving,43.2
ABC,Branch 1,YUj5YxLi,MANUFACTURER-0005,CODE-0027,Wireless Steel Monitor,LDC/CONST,PIPE FIBERGLASS,47,2,24,24.68,0,0,0,-2,-12,,optimal,Network Moving,excess,0,0,-0.2,-0.2,-0.000547945,-0.04,0,2,0,0,Branch Moving,-12
ABC,Branch 3,YUj5YxLi,MANUFACTURER-0005,CODE-0027,Wireless Steel Monitor,LDC/CONST,PIPE FIBERGLASS,613,26,24,24.68,0,0,0,0,inf,,excess,Network Moving,excess,0,0,0,0,0,0,0,26,16,4,Branch Dead,inf
ABC,Branch 8,YUj5YxLi,MANUFACTURER-0005,CODE-0027,Wireless Steel Monitor,LDC/CONST,PIPE FIBERGLASS,283,12,24,24.68,0,14,0,32,4.5,4/16/2025 0:00,excess,Network Moving,excess,33.6,0,3.2,36.8,0.100821918,7.36,8,4,6,1.5,Branch Moving,4.5
ABC,Branch 1,MgbvSMsJ,MANUFACTURER-0005,CODE-0028,Modular Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,558,39,14,16.31,0,3,0,-1,-468,,optimal,Network Moving,excess,7.2,0,-0.1,7.1,0.019452055,1.42,2,37,272,68,Branch Moving,-468
ABC,Branch 5,MgbvSMsJ,MANUFACTURER-0005,CODE-0028,Modular Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,501,35,14,16.31,0,15,0,18,23.33333333,4/28/2023 0:00,excess,Network Moving,excess,36,0,1.8,37.8,0.103561644,7.56,8,27,37,9.25,Branch Moving,23.33333333
ABC,Branch 3,MgbvSMsJ,MANUFACTURER-0005,CODE-0028,Modular Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,2190,153,14,16.31,0,0,0,0,inf,2/14/2024 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,153,16,4,Branch Dead,inf
ABC,Branch 8,MgbvSMsJ,MANUFACTURER-0005,CODE-0028,Modular Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,301,21,14,16.31,0,105,0,278,0.90647482,12/30/2024 0:00,low,Network Moving,excess,252,0,27.8,279.8,0.766575342,55.96,56,0,0,0,Branch Moving,0.90647482
ABC,Branch 4,MgbvSMsJ,MANUFACTURER-0005,CODE-0028,Modular Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,2147,150,14,16.31,0,0,0,0,inf,12/31/2024 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,150,16,4,Branch Dead,inf
ABC,Branch 10,MgbvSMsJ,MANUFACTURER-0005,CODE-0028,Modular Fiber Actuator,LDC/CONST,PIPE FIBERGLASS,730,51,14,16.31,0,47,0,120,5.1,3/20/2025 0:00,excess,Network Moving,excess,112.8,0,12,124.8,0.341917808,24.96,25,26,11,2.75,Branch Moving,5.1
ABC,Branch 2,zhDjr4V1,MANUFACTURER-0005,CODE-0029,Advanced Carbon Transmitter,LDC/CONST,PIPE FIBERGLASS,884,148,6,6.45,0,12,0,12,148,,excess,Network Moving,excess,28.8,0,1.2,30,0.082191781,6,6,142,247,61.75,Branch Moving,148
ABC,Branch 4,zhDjr4V1,MANUFACTURER-0005,CODE-0029,Advanced Carbon Transmitter,LDC/CONST,PIPE FIBERGLASS,11702,1960,6,6.45,0,0,0,0,inf,12/7/2021 0:00,excess,Network Moving,excess,0,0,0,0,0,0,0,1960,16,4,Branch Dead,inf
